date,absacc,acc,age,agr,bm,bm_ia,cash,cashdebt,cashpr,chatoia,chcsho,chempia,chinv,chpmia,cfp,cfp_ia,cinvest,currat,depr,dy,ep,egr,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsaleinv,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pctacc,quick,rd_sale,rd_mve,realestate,roic,salecash,saleinv,salerec,sgr,sp,tang,tb,chtx,ear,roaq,roavol,roeq,rsup,secured,stdacc,stdcf,sue,aeavol,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom1m,mom6m,mom12m,mom36m,mve,mve_ia,retvol,pricedelay,std_dolvol,std_turn,turn,zerotrade,chfeps,chnanalyst,disp,fgr5yr,nanalyst,sfe,ms,ps,nincr,divi,divo,rd,sin,IPO,convind,securedind
19800131,0.020437207,-0.019960622,0.004840545,-0.051246795,0.002593081,0.026180074,0.005222158,-0.066361,0.038806793,0.008507432,-0.029185461,-0.034200448,-0.031438215,0.010319066,-0.0340168,-0.001714746,-0.004527183,0.035945904,0.057452838,-0.122729675,-0.059896556,-0.042442276,-0.025317863,-0.002155245,-0.049510002,0.085895215,-0.034496495,-0.040990828,-0.032099523,-0.03959802,-0.032563887,-0.00871133,-0.013359956,-0.00670261,0.015756025,0.010678072,-0.004552137,0.002267124,-0.001279236,0.017368061,-0.000947309,0.00322752,0.055332503,0.029475026,0.03621845,0.096760718,-0.087176104,0.002292608,-0.039993083,-0.048152983,-0.018841384,-0.003519832,-0.02926521,-0.050537036,0.029509762,0.023164781,-0.015996849,0.09412733,-0.002319325,0.008882451,0.096760718,0.044649842,0.039280661,0.035565601,0.02982139,0.053164266,0.105989054,0.106101622,-0.019630013,-0.076103419,0.149307751,0.053110144,0.115208846,0.077144346,-0.019035643,0.02301678,0.043283341,-0.0180676,-0.07493051,-0.089249184,0.100356353,0.014701598,0.020823516,0.021465294,-0.021584159,0.033546953,0.096760718,0.096760718,0.096760718,0.096760718,0.096760718,0.096760718,-0.062843961,-0.02158265,0.003167302,-0.031232676,-0.031232676,-0.031232676,0.096760718,0.096760718,0.004620282,0.096760718
19800229,0.015636003,-0.000363364,-0.018122351,-0.014144884,-0.021252552,-0.004249866,0.003153762,-0.02783143,0.025498864,0.004080138,-0.005485261,-0.012588584,-0.027173322,-0.001469726,-0.004212775,-0.011402992,0.002617963,0.011371751,0.024581303,-0.067662968,-0.037378234,-0.021663803,0.024039769,-0.001227052,0.008648958,0.021167299,-0.009877467,-0.012500054,-0.023239067,-0.00649833,0.014492767,-0.008601603,-0.005929984,0.0178502,0.007847686,0.006162629,0.022701087,0.010213546,0.008215969,-0.009162638,-0.013690699,0.004560341,0.000429566,-0.009645805,-0.01582693,-0.014711899,-0.031805856,0.001142221,-0.010997108,-0.000246498,-0.008543926,-0.010972441,-0.00234785,-0.030568441,0.01872317,-0.009973203,0.008841744,0.040752918,0.000382181,-0.012918366,-0.014711899,0.033343782,0.035765815,-0.002592848,0.00039617,0.030752924,-0.008089314,-0.006790815,-0.009960923,0.035462324,0.060303103,0.004404843,0.07366493,-0.010422978,-0.011720465,0.03991671,0.047276343,-0.020950227,-0.008682588,-0.021880803,0.005277057,0.016692604,-0.010594359,0.018497426,0.032508751,0.014642937,-0.014711899,-0.014711899,-0.014711899,-0.014711899,-0.014711899,-0.014711899,-0.026242466,-0.023227983,-0.017169981,-0.051511995,-0.051511995,-0.051511995,-0.014711899,-0.014711899,-0.003763363,-0.014711899
19800331,-0.040065406,-0.018086386,-0.014526438,0.001263537,0.033693634,0.022895428,-0.003068019,0.042814738,-0.055648506,0.005330012,-0.002764384,-0.000582241,0.010297217,-0.008387449,0.033181332,0.016451389,-0.014406513,-0.022769341,-0.062895537,0.130701149,0.052366921,0.010409597,-0.010888737,-0.018625682,-0.005810848,-0.097772279,-0.009141784,-0.010898834,0.018194943,0.001156324,-0.010984582,0.011194974,0.00512642,-0.003862026,-0.00883798,0.003371485,-0.005775848,0.005723172,0.007075274,0.004958253,0.017890142,-0.02699766,-0.025677506,0.000464925,-0.011395214,-0.160398568,0.047542502,-0.001939238,0.028319427,0.022678367,-0.005245584,0.022444517,0.026475861,0.042786017,-0.027343612,-0.018316105,0.006349123,-0.085020194,-0.005418242,0.002982392,-0.160398568,-0.057778006,-0.061454484,-0.017684362,0.006859309,-0.058499008,-0.144774498,-0.145072819,-0.010357318,0.029401833,-0.153487268,-0.061718573,-0.075369748,-0.108508971,-0.059038737,-0.04453789,-0.060337821,0.008349105,0.082474748,0.118375305,-0.1133459,0.023836663,-0.024477697,-0.108644911,-0.12438617,0.075565034,-0.160398568,-0.160398568,-0.160398568,-0.160398568,-0.160398568,-0.160398568,0.04219797,0.025032605,0.008832879,0.011846804,0.011846804,0.011846804,-0.160398568,-0.160398568,-0.00824521,-0.160398568
19800430,-0.017147469,-0.013814153,0.001677414,0.001489312,-0.022915965,-0.014909691,-0.015350801,0.007168421,-0.020040893,0.008981814,0.010089775,-0.01155176,-0.010503062,0.033271232,0.033223188,-0.002412909,-0.005983371,-0.019813231,-0.07345937,0.073815375,-0.002653916,0.01077596,-0.042379658,-0.01512975,0.018314553,-0.082173716,0.000405916,-0.006675632,0.01347915,-0.010509698,-0.046865722,-0.031184619,0.01263513,-0.003402259,-0.000851123,0.004916652,0.015301566,0.021855491,0.02083403,0.013856605,0.024435449,-0.014200546,-0.002148097,-0.013044531,-0.021871892,0.053434489,0.011364289,-0.027660591,0.013848912,-0.033534243,0.022485465,-0.039550694,0.005983222,-0.000629234,0.048544797,0.038061388,0.015983172,-0.042455341,0.039369538,0.005147148,0.053434489,0.021463871,0.030959201,0.047112795,0.00112343,0.002945256,0.033405667,0.033613095,-0.027405585,-0.009506695,-0.050267208,0.009115651,0.008156618,0.01955604,-0.039295601,0.043712521,0.048351424,0.017802254,-0.001621473,-0.018755872,0.02677929,-0.008310109,-0.02429669,0.000657674,0.013697859,-0.025484347,0.053434489,0.053434489,0.053434489,0.053434489,0.053434489,0.053434489,-0.006749922,0.027995844,0.029631318,0.03514187,0.03514187,0.03514187,0.053434489,0.053434489,0.000110544,0.053434489
19800530,-0.005577149,0.005240283,-0.004074424,0.029255173,-0.01057482,-0.011134131,0.015278887,0.022805959,0.020166834,-0.008060544,0.016469011,0.018234294,0.011735737,0.002338651,0.004666777,-0.008797261,0.00350685,-0.004485583,0.010346084,-0.012991773,0.022959263,0.032652518,0.013240399,0.015864644,0.013340478,0.031145854,0.022202695,0.01941579,-0.005680986,0.015136651,0.010861955,-0.009201999,-0.008281297,-0.00772665,0.005380556,0.001565236,-0.010286439,0.002489181,-0.000879717,-0.010665532,0.000959528,-0.001567284,0.001139205,-0.001189936,-0.007621393,0.073763184,0.020490668,-0.011295831,-0.0021442,0.007043482,0.014046376,-0.00969899,0.001283069,-0.000920188,-0.021303763,-0.012938793,0.000704607,0.003822023,0.012346817,0.002339127,0.073763184,0.00022099,0.004006158,-0.007195593,0.011609358,-0.003324746,0.034560941,0.034401564,-0.034547862,-0.008020452,0.013369777,0.011633032,-0.011055162,-0.013223821,-0.039748919,-0.030408829,-0.017396418,0.003474633,-0.006614582,-0.007832286,-0.009775605,-0.014844288,0.011661769,0.020332206,0.022898556,-0.006245574,0.073763184,0.073763184,0.073763184,0.073763184,0.073763184,0.073763184,0.016231329,0.004141961,-0.003776677,0.01983424,0.01983424,0.01983424,0.073763184,0.073763184,0.006476441,0.073763184
19800630,-0.00316965,-0.012230485,-0.001714314,0.003565021,-0.014738526,-0.012372275,0.010333761,0.005648338,0.003091457,-0.003481874,-0.006615675,0.005099023,-0.005249668,0.001782496,0.024787657,0.005860192,0.003296112,-0.004182917,-0.012524461,0.003451562,0.00371914,0.008996637,-0.014509487,-0.007958332,0.008551763,-0.011715775,0.007498256,-0.005592574,0.003647662,0.006701986,-0.001236861,-0.027716655,0.004389075,-0.001900651,-0.005999425,0.008169907,0.011888615,0.002739713,-0.00164722,-0.002748357,-0.000865765,-0.011694492,-0.001768282,-0.021245226,-0.021757293,0.04176751,0.013009106,-0.017755715,-0.001774083,-0.005785454,0.001461278,-0.015900606,0.006620408,-0.006665766,0.033342631,0.023606396,0.022859983,-0.011317078,0.034365611,0.006224781,0.04176751,0.019225781,0.029374256,0.020258296,0.004614754,-0.003014729,-0.007747736,-0.007887007,-0.031133274,-0.006272705,0.001846782,0.017073047,0.025526696,-0.019228278,-0.042868082,0.010658676,0.026072085,0.028902586,-0.015792182,-0.016022931,-0.014106016,0.001183857,-0.014932512,-0.004844914,-0.002384939,0.00941361,0.04176751,0.04176751,0.04176751,0.04176751,0.04176751,0.04176751,-0.010839505,-0.000764904,0.008442401,-0.003556812,-0.003556812,-0.003556812,0.04176751,0.04176751,-0.004098407,0.04176751
19800731,0.062382652,0.037026603,0.009832038,0.030472021,-0.023826744,0.010125977,0.042590029,0.018135609,0.07832021,-0.00954491,0.021283312,0.005169215,0.025346676,-0.006684221,-0.007137776,-0.031267106,-0.005262583,0.063945215,0.071756333,-0.098206565,-0.006055832,0.048495257,0.072463179,0.01944447,0.008309609,0.07300888,0.042850781,0.030313597,-0.030312499,0.020526683,0.079109564,0.034173211,0.010270924,0.004552697,-0.017379091,0.0282446,-0.00486549,-0.014872731,-0.015811366,-0.013571386,-0.03731698,0.004332187,0.045086352,0.086743466,0.065244676,0.094653972,0.039842849,0.00952,-0.038598839,-0.004731624,0.024551419,-0.005146913,0.021876036,0.010051113,0.00622344,0.000684695,0.017746871,0.043554793,0.016322912,0.003375822,0.094653972,-0.015344713,-0.008702212,0.000936942,0.014331232,-0.00364781,0.122889821,0.12072708,-0.032955509,-0.029828738,0.082704665,0.01538093,0.016905474,0.017965018,-0.048631214,0.00524374,0.013129571,0.029697833,-0.021888511,-0.022274715,0.034813837,-0.036819081,0.027697138,0.035790215,0.032505246,-0.018152334,0.094653972,0.094653972,0.094653972,0.094653972,0.094653972,0.094653972,0.037707709,-0.004052973,0.020647938,0.022003733,0.022003733,0.022003733,0.094653972,0.094653972,0.023529107,0.094653972
19800829,0.056128964,0.029805228,-0.018089315,-0.004516562,-0.027501044,0.009342627,0.0023589,-0.008574314,0.045842059,-0.001894012,0.00643503,-0.012487145,-0.010482263,-0.039151025,-0.029719239,-0.00406595,0.000317306,0.055026923,0.091048644,-0.121763637,-0.035074028,0.009187003,0.036567156,-0.008192241,-0.019827602,0.084885936,0.008197954,-0.010849862,-0.043137048,0.005522606,0.042251825,0.043232753,-0.017392918,0.02454965,-0.005790526,0.020082593,0.023447016,-0.012384036,-0.012334468,-0.013611245,-0.031274424,0.023069539,0.037961804,0.044163206,0.057659519,0.066821631,0.003429179,0.012371079,-0.041176493,-0.025022948,-0.004780894,-0.00829238,0.024602669,-0.030329442,0.022793038,-0.005777911,0.005290116,0.059638295,0.005107036,-0.003658777,0.066821631,0.031638325,0.023253511,0.014786865,-0.026881323,0.039245364,0.075273733,0.074974853,-0.04305562,-0.05292188,0.104200777,0.058721347,0.046218067,0.06623516,0.009888199,-0.027425499,0.014564326,-0.009060089,-0.077400896,-0.086323575,0.070262222,-0.042641789,0.054964923,0.028694088,0.009901437,0.001131246,0.066821631,0.066821631,0.066821631,0.066821631,0.066821631,0.066821631,-0.033954451,-0.012648759,-0.005878656,-0.004856353,-0.004856353,-0.004856353,0.066821631,0.066821631,0.008639189,0.066821631
19800930,0.022323426,0.02572791,-0.04445886,0.01383742,-0.015479447,0.007931298,0.005891608,-0.02467891,0.035756186,0.006300439,0.010368629,0.006323396,0.010966543,-0.000586512,-0.024885833,0.000450167,0.01843947,0.027994223,0.052239241,-0.071371356,-0.020816089,-0.01334678,0.01761301,-0.00069651,-0.007565895,0.036515194,0.012204112,0.006336946,-0.035686312,0.006323587,-0.004144501,0.003978686,-0.009756414,-0.011346749,-0.008860648,0.00861347,-0.009855762,0.00299686,-0.002538467,-0.001660378,0.011060962,0.001980489,0.017420892,0.007489597,0.004614892,0.045391491,-0.006901929,0.000790536,-0.035323891,-0.03071669,0.013374441,-0.028212221,0.021450555,-0.025100071,0.020448967,0.001440264,0.031083544,0.030536147,0.018006296,0.001244333,0.045391491,0.022135509,0.025484414,0.033515353,-0.008113615,0.029369262,0.008664872,0.008790677,-0.051328087,-0.012392561,0.065413806,0.023724285,0.04705692,0.000611038,-0.030631577,-0.006432938,0.034900907,0.01656068,-0.029554413,-0.02591475,0.008048669,0.026586164,-0.01395154,-0.010263394,-0.014157104,0.037070145,0.045391491,0.045391491,0.045391491,0.045391491,0.045391491,0.045391491,-0.02823124,-0.02480464,-0.006570021,-0.059063058,-0.059063058,-0.059063058,0.045391491,0.045391491,-0.010427078,0.045391491
19801031,0.03135386,0.031658187,-0.045648575,0.023163287,-0.034355245,-0.022978215,0.015507858,-0.013759006,0.045293148,0.017048704,0.010404575,0.004352767,0.004603942,-0.010894246,-0.01277994,-0.005667619,-0.009631259,0.031829862,0.049020958,-0.071619027,-0.021377153,0.028976975,0.030451179,0.004060763,0.009862278,0.02599968,0.008231689,0.008303863,-0.041862946,0.016800281,0.033352482,0.004263363,-0.006999255,0.017285601,0.001236773,0.021144871,0.020234173,0.002592263,0.004666818,-0.016244668,-0.004081319,0.01608361,0.046772267,0.006710016,-0.007805036,0.038171203,0.000445043,-0.024578789,-0.022527647,-0.029351353,0.03243989,-0.040041007,0.038253477,-0.022464951,0.05098581,0.014137823,0.040999755,0.01438981,0.035693063,0.016912106,0.038171203,0.007862627,0.006365791,0.039837321,0.013200965,0.020152331,0.051076215,0.052673088,0.030019967,0.00770321,0.064178062,0.030615702,0.037707373,0.02891502,0.016736105,0.055258534,0.067325407,0.027781392,-0.040117651,-0.055620837,0.0362305,0.005032499,0.000611956,0.027523772,0.039788793,-0.005861656,0.038171203,0.038171203,0.038171203,0.038171203,0.038171203,0.038171203,-0.024441417,-0.006397358,-0.008578374,-0.054164771,-0.054164771,-0.054164771,0.038171203,0.038171203,0.000131728,0.038171203
